control_id,control_name,used_in_comparison_table
D3-AA,Access Authentication,False
D3-ABPI,Application-based Process Isolation,False
D3-ACA,Active Certificate Analysis,False
D3-ACH,Application Configuration Hardening,False
D3-AEM,Application Exception Monitoring,False
D3-AH,Application Hardening,False
D3-AI,Asset Inventory,True
D3-AL,Application Allowlisting,False
D3-ALLM,Active Logical Link Mapping,False
D3-AM,Access Modeling,False
D3-AMED,Access Mediation,True
D3-ANAA,Administrative Network Activity Analysis,False
D3-ANCI,Authentication Cache Invalidation,False
D3-ANET,Authentication Event Thresholding,False
D3-APA,Access Policy Administration,False
D3-APCA,Application Protocol Command Analysis,False
D3-APLM,Active Physical Link Mapping,False
D3-APM,Application Performance Monitoring,False
D3-AV,Antivirus,False
D3-AVE,Asset Vulnerability Enumeration,False
D3-AZET,Authorization Event Thresholding,False
D3-BA,Bootloader Authentication,False
D3-BAC,Backup Access Control,True
D3-BAN,Biometric Authentication,False
D3-BDI,Broadcast Domain Isolation,False
D3-BDR,Backup Data Recovery,True
D3-BMA,Bus Message Authentication,False
D3-BSE,Byte Sequence Emulation,False
D3-CA,Certificate Analysis,False
D3-CAA,Connection Attempt Analysis,False
D3-CBAN,Certificate-based Authentication,False
D3-CCSA,Credential Compromise Scope Analysis,False
D3-CDP,Change Default Password,False
D3-CE,Credential Eviction,False
D3-CERO,Certificate Rotation,True
D3-CF,Content Filtering,False
D3-CFC,Content Format Conversion,False
D3-CFI,Control Flow Integrity,False
D3-CH,Credential Hardening,False
D3-CHN,Connected Honeynet,True
D3-CI,Configuration Inventory,False
D3-CIA,Container Image Analysis,True
D3-CM,Content Modification,False
D3-CNE,Content Excision,False
D3-CNR,Content Rebuild,False
D3-CNS,Content Substitution,False
D3-CP,Certificate Pinning,False
D3-CQ,Content Quarantine,False
D3-CR,Command Restriction,True
D3-CRO,Credential Rotation,False
D3-CS,Credential Scrubbing,False
D3-CSPP,Client-server Payload Profiling,False
D3-CTS,Credential Transmission Scoping,False
D3-CV,Content Validation,False
D3-DA,Dynamic Analysis,True
D3-DAM,Domain Account Monitoring,False
D3-DCE,Dead Code Elimination,True
D3-DE,Decoy Environment,True
D3-DEM,Data Exchange Mapping,True
D3-DENCR,Disk Encryption,True
D3-DF,Decoy File,True
