example_num,technique_id,technique_name,det_count,lrn_count,deterministic_controls,learned_controls,deterministic_controls_explained,learned_controls_explained,overlap,match
1,T1486,Data Encrypted for Impact,7,5,D3-AI; D3-DE; D3-DO; D3-FA; D3-PM; D3-RA; D3-UBA,D3-BAC; D3-BDR; D3-CHN; D3-DI; D3-SFA,D3-AI (Asset Inventory); D3-DE (Decoy Environment); D3-DO (Decoy Object); D3-FA (File Analysis); D3-PM (Platform Monitoring); D3-RA (Restore Access); D3-UBA (User Behavior Analysis),D3-BAC (Backup Access Control); D3-BDR (Backup Data Recovery); D3-CHN (Connected Honeynet); D3-DI (Data Inventory); D3-SFA (System File Analysis),,DISJOINT
2,T1490,Inhibit System Recovery,3,5,D3-AI; D3-PM; D3-RA,D3-BAC; D3-BDR; D3-CR; D3-DCE; D3-PCSV,D3-AI (Asset Inventory); D3-PM (Platform Monitoring); D3-RA (Restore Access),D3-BAC (Backup Access Control); D3-BDR (Backup Data Recovery); D3-CR (Command Restriction); D3-DCE (Dead Code Elimination); D3-PCSV (Process Code Segment Verification),,DISJOINT
3,T1485,Data Destruction,3,4,D3-DO; D3-FA; D3-RA,D3-DEM; D3-DI; D3-DKE; D3-DQSA,D3-DO (Decoy Object); D3-FA (File Analysis); D3-RA (Restore Access),D3-DEM (Data Exchange Mapping); D3-DI (Data Inventory); D3-DKE (Disk Erasure); D3-DQSA (Database Query String Analysis),,DISJOINT
4,T1487,Disk Structure Wipe,2,4,D3-PM; D3-RA,D3-DENCR; D3-DKE; D3-DKF; D3-DKP,D3-PM (Platform Monitoring); D3-RA (Restore Access),D3-DENCR (Disk Encryption); D3-DKE (Disk Erasure); D3-DKF (Disk Formatting); D3-DKP (Disk Partitioning),,DISJOINT
5,T1488,Disk Content Wipe,2,4,D3-FA; D3-RA,D3-DENCR; D3-DKE; D3-DKF; D3-DKP,D3-FA (File Analysis); D3-RA (Restore Access),D3-DENCR (Disk Encryption); D3-DKE (Disk Erasure); D3-DKF (Disk Formatting); D3-DKP (Disk Partitioning),,DISJOINT
6,T1055,Process Injection,4,4,D3-FA; D3-PE; D3-PM; D3-UBA,D3-HBPI; D3-IPCTA; D3-PLA; D3-PSEP,D3-FA (File Analysis); D3-PE (Process Eviction); D3-PM (Platform Monitoring); D3-UBA (User Behavior Analysis),D3-HBPI (Hardware-based Process Isolation); D3-IPCTA (IPC Traffic Analysis); D3-PLA (Process Lineage Analysis); D3-PSEP (Process Segment Execution Prevention),,DISJOINT
7,T1070,Indicator Removal,4,5,D3-AI; D3-FA; D3-PM; D3-UBA,D3-EDR; D3-PSA; D3-SIEM; D3-TBI; D3-TL,D3-AI (Asset Inventory); D3-FA (File Analysis); D3-PM (Platform Monitoring); D3-UBA (User Behavior Analysis),D3-EDR (Endpoint Detection and Response); D3-PSA (Process Spawn Analysis); D3-SIEM (Security Information and Event Management); D3-TBI (TPM Boot Integrity); D3-TL (Trusted Library),,DISJOINT
8,T1021,Remote Services,4,5,D3-AI; D3-AMED; D3-PM; D3-UBA,D3-NFP; D3-OMM; D3-RFAM; D3-RTSD; D3-VPM,D3-AI (Asset Inventory); D3-AMED (Access Mediation); D3-PM (Platform Monitoring); D3-UBA (User Behavior Analysis),D3-NFP (Network Filtering Policy); D3-OMM (Operating Mode Monitoring); D3-RFAM (Remote File Access Mediation); D3-RTSD (Remote Terminal Session Detection); D3-VPM (Virtual Private Network),,DISJOINT
9,T1055.011,Extra Window Memory Injection,4,4,D3-FA; D3-PE; D3-PM; D3-UBA,D3-HBPI; D3-PCSV; D3-PLA; D3-PSEP,D3-FA (File Analysis); D3-PE (Process Eviction); D3-PM (Platform Monitoring); D3-UBA (User Behavior Analysis),D3-HBPI (Hardware-based Process Isolation); D3-PCSV (Process Code Segment Verification); D3-PLA (Process Lineage Analysis); D3-PSEP (Process Segment Execution Prevention),,DISJOINT
10,T1070.006,Timestomp,4,4,D3-AI; D3-FA; D3-PM; D3-UBA,D3-DA; D3-FMVV; D3-RFAM; D3-SFA,D3-AI (Asset Inventory); D3-FA (File Analysis); D3-PM (Platform Monitoring); D3-UBA (User Behavior Analysis),D3-DA (Dynamic Analysis); D3-FMVV (File Metadata Value Verification); D3-RFAM (Remote File Access Mediation); D3-SFA (System File Analysis),,DISJOINT
